ID,Latitude,Longitude,variable,,,,
USC00211891,47.8014,-96.6031,TMAX,1890,2020,,
USC00211891,47.8014,-96.6031,TMIN,1890,2020,,
USC00021001,36.2147,-112.062,PRCP,1925,2020,,
USC00021050,35.1411,-114.5686,PRCP,1977,2019,,
USC00259200,41.845,-96.7142,SNOW,1890,2020,,
USC00259200,41.845,-96.7142,SNWD,1890,2020,,
USC00259200,41.845,-96.7142,WT03,1890,2020,,
USC00313228,35.1803,-83.3931,TMIN,1890,2020,,
USC00313356,35.2672,-81.1436,TMAX,1890,2020,,
USC00313356,35.2672,-81.1436,TMIN,1890,2020,,
USC00313356,35.2672,-81.1436,TOBS,1890,2020,,
USC00313356,35.2672,-81.1436,SNOW,1890,2020,,
USC00313356,35.2672,-81.1436,SNWD,1890,2020,,
USC00401480,36.2456,-85.945,TMAX,1890,2020,,
USC00401480,36.2456,-85.945,TMIN,1890,2020,,
USC00021231,31.5589,-110.5294,PRCP,1910,2012,,
USC00401480,36.2456,-85.945,SNOW,1890,2020,,
USC00401480,36.2456,-85.945,SNWD,1890,2020,,
USC00401790,36.5472,-87.3353,TMAX,1890,2020,,
USC00401790,36.5472,-87.3353,TMIN,1890,2020,,
USC00021248,36.1533,-109.5394,PRCP,1970,2020,,
USC00403679,36.1056,-82.8436,TMAX,1890,2020,,
USC00403679,36.1056,-82.8436,TMIN,1890,2020,,
USC00021282,33.8161,-111.9019,PRCP,1962,2020,,
USC00404871,35.8575,-84.5278,SNOW,1890,2020,,
USC00405187,35.4139,-86.8086,TMAX,1890,2020,,
USC00405187,35.4139,-86.8086,TMIN,1890,2020,,
USC00021306,32.8875,-111.7147,PRCP,1898,2020,,
USC00406371,35.9203,-86.3728,TMAX,1890,2020,,
USC00406371,35.9203,-86.3728,TMIN,1890,2020,,
USC00021314,32.9947,-111.5367,PRCP,1906,2020,,
USC00449263,38.8969,-78.4678,SNOW,1890,2020,,
USC00451350,47.8344,-120.0006,TMAX,1890,2020,,
USC00451350,47.8344,-120.0006,TMIN,1890,2020,,
USC00451350,47.8344,-120.0006,TOBS,1890,2020,,
USC00021330,32.2617,-110.3481,PRCP,1969,2020,,
USC00451350,47.8344,-120.0006,SNOW,1890,2020,,
USC00451350,47.8344,-120.0006,SNWD,1890,2020,,
USC00475255,45.1308,-90.3439,SNOW,1890,2020,,
USC00483100,41.265,-110.9508,TMAX,1890,2020,,
USC00483100,41.265,-110.9508,TMIN,1890,2020,,
USC00021353,33.9825,-112.3628,PRCP,1916,2018,,
